Параметр ηl,Частота (nl),ηl * nl,nl теор,((nl - nl теор)^2) / nl теор
,,,,
0.0,114.0,0.0,388.4668632661381,193.92145419503402
1.0,283.0,283.0,453.9977106457161,64.40608919478471
2.0,330.0,660.0,265.29150972954807,15.78334986049802
3.0,260.0,780.0,103.3479295662567,237.44908363593171
4.0,159.0,636.0,30.19544770728013,549.4408578458668
5.0,65.0,325.0,7.057829342646315,475.68380836296745
6.0,28.0,168.0,1.3747368895033085,515.6656820050147
7.0,8.0,56.0,0.22952036751684318,263.0718762438571
8.0,3.0,24.0,0.033529797278945034,262.4514962146164
