Оценка руководителя	Оценка подчинённых	Оценка коллег	Самооценка	Класс
3	4	3	6	2
5	4	4	4	2
2	3	3	5	2
9	6	10	8	1
2	6	5	4	2
8	7	8	9	1
9	7	5	7	1
9	4	8	10	1
8	9	8	9	1
10	8	6	6	1
10	7	6	8	1
7	8	8	6	1
8	5	8	7	1
7	7	8	8	1
3	7	4	4	2
6	9	7	7	1
7	6	10	8	1
4	8	3	8	2
4	4	4	4	2
7	7	8	9	1
3	4	5	4	2
3	6	4	5	2
4	4	3	6	2
2	2	3	4	2
5	4	2	4	2
9	9	7	8	1
9	7	8	9	1
7	8	7	10	1
3	4	3	7	2
3	3	3	5	2
4	4	4	6	2
7	4	9	8	1
3	4	3	5	2
8	7	10	9	1
8	5	7	8	1
4	4	1	3	2
2	3	2	3	2
4	2	3	6	2
4	3	4	7	2
7	8	9	8	1
