ID	Возраст	Образование(1-10)	Опыт(лет)	Софт(1-10)	Качество(0-100)
59	30	10	5	10	86.1
65	35	3	5	9	86.1
86	36	8	5	5	85.2
19	35	4	4	10	84.4
32	34	7	5	10	84.4
36	24	9	4	9	84.4
62	39	10	4	9	84.4
63	37	9	4	8	84.4
67	36	8	4	4	84.4
72	34	10	4	2	84.4
93	38	8	4	1	84.4
58	21	7	4	10	84.3
21	28	8	5	10	84.0
87	31	7	5	6	82.9
8	45	10	2	9	82.4
50	45	3	4	10	82.4
70	45	4	5	10	82.4
74	45	7	5	10	82.4
57	33	6	5	8	64.0
31	42	2	5	8	62.7
51	26	1	4	10	59.3
92	26	8	5	3	58.0
46	29	7	2	8	57.1
64	24	7	4	3	53.3
88	23	10	4	6	51.7
28	22	8	4	7	50.8
15	22	9	5	2	50.6
90	20	8	1	10	50.2
4	39	10	1	1	50.0
9	42	8	2	2	50.0
13	45	4	4	1	50.0
14	41	2	4	2	50.0
22	41	4	5	7	50.0
27	39	4	2	10	50.0
43	38	2	5	4	50.0
52	37	1	5	2	50.0
55	41	1	5	4	50.0
66	34	2	4	7	50.0
76	41	1	5	6	50.0
81	35	5	1	10	50.0
84	38	1	5	6	50.0
85	40	9	1	5	50.0
99	45	10	1	3	50.0
44	33	9	1	5	49.9
82	30	10	1	7	47.1
33	29	8	1	7	43.1
42	29	7	1	1	42.4
80	29	4	4	6	42.4
60	28	1	5	6	36.6
71	28	5	1	10	36.6
75	28	9	2	4	36.6
12	23	8	2	8	31.7
20	27	1	5	3	29.3
23	27	6	1	10	29.3
29	27	6	4	5	29.3
40	20	6	1	3	17.4
98	22	6	2	10	16.4
5	44	2	1	2	16.2
41	44	6	1	4	16.2
25	28	5	2	6	16.0
35	21	8	1	5	16.0
73	21	5	5	2	16.0
18	21	4	1	6	15.7
48	27	3	1	1	15.7
16	35	1	2	1	15.6
17	40	4	2	6	15.6
34	37	4	2	2	15.6
38	29	2	2	7	15.6
53	32	4	2	7	15.6
100	31	4	2	2	15.6
68	37	5	1	3	14.8
89	22	8	1	3	14.8
56	30	5	1	4	13.9
49	31	4	1	3	13.4
91	39	3	1	6	13.4
47	32	2	1	6	13.3
1	45	9	3	1	0.0
2	44	9	3	2	0.0
3	33	6	3	4	0.0
6	39	5	3	3	0.0
7	41	10	3	8	0.0
10	25	5	3	4	0.0
11	35	1	3	9	0.0
24	32	5	3	10	0.0
26	30	3	3	3	0.0
30	44	6	3	4	0.0
37	29	6	3	4	0.0
39	31	2	3	3	0.0
45	41	1	3	5	0.0
54	31	8	3	6	0.0
61	38	2	3	1	0.0
69	36	1	3	3	0.0
77	44	9	3	9	0.0
78	24	4	3	8	0.0
79	33	4	3	5	0.0
83	33	6	3	1	0.0
94	21	9	3	5	0.0
95	26	7	3	7	0.0
96	33	2	3	10	0.0
97	32	10	3	4	0.0
